,Actor,Director,Rating,Title,URL,Year
62,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",8.4,Coco,https://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63,1994
63,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",8.4,Mononoke-hime,https://www.imdb.com/title/tt0119698/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64,1994
64,Sam Mendes,"Kevin Spacey, Annette Bening",8.4,American Beauty,https://www.imdb.com/title/tt0169547/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65,1994
65,Christopher Nolan,"Christian Bale, Tom Hardy",8.4,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66,1994
66,Billy Wilder,"Tyrone Power, Marlene Dietrich",8.4,Witness for the Prosecution,https://www.imdb.com/title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_67,1994
67,Chan-wook Park,"Min-sik Choi, Ji-tae Yu",8.4,Oldeuboi,https://www.imdb.com/title/tt0364569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_68,1994
68,James Cameron,"Sigourney Weaver, Michael Biehn",8.4,Aliens,https://www.imdb.com/title/tt0090605/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_69,1994
69,Sergio Leone,"Robert De Niro, James Woods",8.3,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_70,1994
70,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",8.3,Das Boot,https://www.imdb.com/title/tt0082096/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_71,1994
71,Orson Welles,"Orson Welles, Joseph Cotten",8.3,Citizen Kane,https://www.imdb.com/title/tt0033467/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_72,1994
72,Alfred Hitchcock,"James Stewart, Kim Novak",8.3,Vertigo,https://www.imdb.com/title/tt0052357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_73,1994
73,Alfred Hitchcock,"Cary Grant, Eva Marie Saint",8.3,North by Northwest,https://www.imdb.com/title/tt0053125/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_74,1994
74,Mel Gibson,"Mel Gibson, Sophie Marceau",8.3,Braveheart,https://www.imdb.com/title/tt0112573/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_75,1994
75,Quentin Tarantino,"Harvey Keitel, Tim Roth",8.3,Reservoir Dogs,https://www.imdb.com/title/tt0105236/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_76,1994
76,Richard Marquand,"Mark Hamill, Harrison Ford",8.3,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_77,1994
77,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,Kimi no na wa.,https://www.imdb.com/title/tt5311514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_78,1994
78,Fritz Lang,"Peter Lorre, Ellen Widmann",8.3,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_79,1994
79,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar",8.3,Dangal,https://www.imdb.com/title/tt5074352/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_80,1994
80,Darren Aronofsky,"Ellen Burstyn, Jared Leto",8.3,Requiem for a Dream,https://www.imdb.com/title/tt0180093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_81,1994
81,Milos Forman,"F. Murray Abraham, Tom Hulce",8.3,Amadeus,https://www.imdb.com/title/tt0086879/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_82,1994
82,Aamir Khan,"Darsheel Safary, Aamir Khan",8.3,Taare Zameen Par,https://www.imdb.com/title/tt0986264/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_83,1994
83,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",8.3,Amélie,https://www.imdb.com/title/tt0211915/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_84,1994
84,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",8.3,A Clockwork Orange,https://www.imdb.com/title/tt0066921/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_85,1994
85,David Lean,"Peter O'Toole, Alec Guinness",8.3,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_86,1994
86,Michel Gondry,"Jim Carrey, Kate Winslet",8.3,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_87,1994
87,Billy Wilder,"Fred MacMurray, Barbara Stanwyck",8.3,Double Indemnity,https://www.imdb.com/title/tt0036775/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_88,1994
88,Martin Scorsese,"Robert De Niro, Jodie Foster",8.3,Taxi Driver,https://www.imdb.com/title/tt0075314/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_89,1994
89,Stanley Kubrick,"Keir Dullea, Gary Lockwood",8.3,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_90,1994
90,Rajkumar Hirani,"Aamir Khan, Madhavan",8.3,3 Idiots,https://www.imdb.com/title/tt1187043/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_91,1994
91,Stanley Donen,"Gene Kelly, Donald O'Connor",8.3,Singin' in the Rain,https://www.imdb.com/title/tt0045152/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_92,1994
92,John Lasseter,"Tom Hanks, Tim Allen",8.3,Toy Story,https://www.imdb.com/title/tt0114709/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_93,1994
93,Stanley Kubrick,"Matthew Modine, R. Lee Ermey",8.3,Full Metal Jacket,https://www.imdb.com/title/tt0093058/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_94,1994
94,Robert Mulligan,"Gregory Peck, John Megna",8.3,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_95,1994
95,Quentin Tarantino,"Brad Pitt, Diane Kruger",8.3,Inglourious Basterds,https://www.imdb.com/title/tt0361748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_96,1994
96,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola",8.3,Ladri di biciclette,https://www.imdb.com/title/tt0040522/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_97,1994
97,George Roy Hill,"Paul Newman, Robert Redford",8.3,The Sting,https://www.imdb.com/title/tt0070735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_98,1994
98,Charles Chaplin,"Charles Chaplin, Edna Purviance",8.3,The Kid,https://www.imdb.com/title/tt0012349/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_99,1994
99,Lee Unkrich,"Tom Hanks, Tim Allen",8.3,Toy Story 3,https://www.imdb.com/title/tt0435761/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_100,1994
100,Guy Ritchie,"Jason Statham, Brad Pitt",8.3,Snatch,https://www.imdb.com/title/tt0208092/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_101,1994
101,Gus Van Sant,"Robin Williams, Matt Damon",8.3,Good Will Hunting,https://www.imdb.com/title/tt0119217/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_102,1994
102,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen",8.3,Jagten,https://www.imdb.com/title/tt2106476/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_103,1994
103,Terry Gilliam,"Graham Chapman, John Cleese",8.3,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_104,1994
104,Sergio Leone,"Clint Eastwood, Lee Van Cleef",8.2,Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_105,1994
105,Brian De Palma,"Al Pacino, Michelle Pfeiffer",8.2,Scarface,https://www.imdb.com/title/tt0086250/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_106,1994
106,Curtis Hanson,"Kevin Spacey, Russell Crowe",8.2,L.A. Confidential,https://www.imdb.com/title/tt0119488/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_107,1994
107,Billy Wilder,"Jack Lemmon, Shirley MacLaine",8.2,The Apartment,https://www.imdb.com/title/tt0053604/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_108,1994
108,Fritz Lang,"Brigitte Helm, Alfred Abel",8.2,Metropolis,https://www.imdb.com/title/tt0017136/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_109,1994
109,Asghar Farhadi,"Payman Maadi, Leila Hatami",8.2,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_110,1994
110,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",8.2,Rashômon,https://www.imdb.com/title/tt0042876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_111,1994
111,Steven Spielberg,"Harrison Ford, Sean Connery",8.2,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_112,1994
112,Pete Docter,"Edward Asner, Jordan Nagai",8.2,Up,https://www.imdb.com/title/tt1049413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_113,1994
113,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",8.2,Yôjinbô,https://www.imdb.com/title/tt0055630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_114,1994
114,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",8.2,All About Eve,https://www.imdb.com/title/tt0042192/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_115,1994
115,Christopher Nolan,"Christian Bale, Michael Caine",8.2,Batman Begins,https://www.imdb.com/title/tt0372784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_116,1994
116,Billy Wilder,"Marilyn Monroe, Tony Curtis",8.2,Some Like It Hot,https://www.imdb.com/title/tt0053291/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_117,1994
117,Clint Eastwood,"Clint Eastwood, Gene Hackman",8.2,Unforgiven,https://www.imdb.com/title/tt0105695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_118,1994
118,John Huston,"Humphrey Bogart, Walter Huston",8.2,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_119,1994
119,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara",8.2,Der Untergang,https://www.imdb.com/title/tt0363163/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_120,1994
120,John McTiernan,"Bruce Willis, Alan Rickman",8.2,Die Hard,https://www.imdb.com/title/tt0095016/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_121,1994
121,Michael Mann,"Al Pacino, Robert De Niro",8.2,Heat,https://www.imdb.com/title/tt0113277/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_122,1994
122,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan",8.2,Babam ve Oglum,https://www.imdb.com/title/tt0476735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_123,1994
123,Martin Scorsese,"Robert De Niro, Cathy Moriarty",8.2,Raging Bull,https://www.imdb.com/title/tt0081398/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_124,1994
124,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko",8.2,Ikiru,https://www.imdb.com/title/tt0044741/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_125,1994
